position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
124,PGE-FET-124,Fette,2090i,36 STATION TURRET ASSEMBLY*,Turrets,Needed,needed,26,/assets/images/parts/fette/pge-fet-124.png,/parts/pge-fet-124/
125,PGE-FET-125,Fette,2090i,LUBE FELT/HEAD IPT 1” EU 1” FLAT,Upper Cam Tracks,3133026,catalog-supplied,26,/assets/images/parts/fette/pge-fet-125.png,/parts/pge-fet-125/
126,PGE-FET-126,Fette,2090i,"LUBE FELT FOR FLAT CAMS IPT19, EU19",Upper Cam Tracks,3115365,catalog-supplied,27,/assets/images/parts/fette/pge-fet-126.png,/parts/pge-fet-126/
127,PGE-FET-127,Fette,2090i,LUBE FELT FOR PUNCH SHANK,Upper Cam Tracks,3101612,catalog-supplied,27,/assets/images/parts/fette/pge-fet-127.png,/parts/pge-fet-127/
128,PGE-FET-128,Fette,2090i,HEAD LUBE CAM - EU 19,Upper Cam Tracks,3118390,catalog-supplied,27,/assets/images/parts/fette/pge-fet-128.png,/parts/pge-fet-128/
129,PGE-FET-129,Fette,2090i,PLASTIC HOLDING LEDGE/ SHANK LUBE - EU19,Upper Cam Tracks,Needed,needed,27,/assets/images/parts/fette/pge-fet-129.png,/parts/pge-fet-129/
130,PGE-FET-130,Fette,2090i,UPPER RAISING CAM - STEEL- IPT 19,Upper Cam Tracks,Needed,needed,27,/assets/images/parts/fette/pge-fet-130.png,/parts/pge-fet-130/
131,PGE-FET-131,Fette,2090 WiP,8MM FILL CAM - EU 19,Lower Cam Tracks,3778806,catalog-supplied,28,/assets/images/parts/fette/pge-fet-131.png,/parts/pge-fet-131/
132,PGE-FET-132,Fette,2090 WiP,PUNCH RESTRAINER O-RING 400 X 8,Turret Hardware,3761205,catalog-supplied,28,/assets/images/parts/fette/pge-fet-132.png,/parts/pge-fet-132/
133,PGE-FET-133,Fette,2090 WiP,PUNCH SEALS LOWER “B”,Turret Hardware,3115546,catalog-supplied,28,/assets/images/parts/fette/pge-fet-133.png,/parts/pge-fet-133/
