record_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,review_notes,image_path
15,PGE-KIK-015,Kikusui,GEMINI,BEARING FOR ROLL SHAFT - B,Pressure Rolls & Components,SL04-5013,N/A,6,R5C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-015.webp
16,PGE-KIK-016,Kikusui,GEMINI,TABLET OUTLET RAIL,Product Control,G-45,G-45,7,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-016.webp
17,PGE-KIK-017,Kikusui,GEMINI,UPPER PUNCH GUIDE RAIL (FRONT),Product Control,K-014-G-03,014-G-03,7,R1C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-017.webp
18,PGE-KIK-018,Kikusui,GEMINI,UPPER PUNCH SETTING RAIL,Product Control,K-014-G-05,014-G-05,7,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-018.webp
19,PGE-KIK-019,Kikusui,GEMINI,DUMPER DISCHARGE COVER,Product Control,K-119,JC-119,7,R2C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-019.webp
20,PGE-KIK-020,Kikusui,GEMINI,DUMPER DISCHARGE,Product Control,K-129,014-JC-129,7,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-020.webp
21,PGE-KIK-021,Kikusui,GEMINI,INSERT FOR FEED FRAME - DELRIN,Product Control,KG-01,N/A,7,R2C3,Catalog photo,Reviewed — product-page value used,Index part name: INSERT FOR FEED FRAME; pictured product page: INSERT FOR FEED FRAME - DELRIN.,/assets/images/parts/kikusui/pge-kik-021.webp
22,PGE-KIK-022,Kikusui,GEMINI,INSERT FOR FEED FRAME - DELRIN,Product Control,KG-02,N/A,7,R3C1,Catalog photo,Reviewed — product-page value used,Index part name: INSERT FOR FEED FRAME; pictured product page: INSERT FOR FEED FRAME - DELRIN.,/assets/images/parts/kikusui/pge-kik-022.webp
23,PGE-KIK-023,Kikusui,GEMINI,VOLUME RAIL - BRONZE,Product Control,KG-1-4,41643,7,R3C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-023.webp
24,PGE-KIK-024,Kikusui,GEMINI,THICKNESS CONTROL WORM,Product Control,KG-1G,R-1,7,R3C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-024.webp
